Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0603_1608Metric",130.8261,-123.3974,0.0000,bottom
"C2","0.1uF","C_0603_1608Metric",130.8261,-120.8874,0.0000,bottom
"C3","0.1uF","C_0603_1608Metric",130.8261,-118.3774,0.0000,bottom
"C4","0.1uF","C_0603_1608Metric",130.8261,-115.8674,0.0000,bottom
"C5","0.1uF","C_0603_1608Metric",130.8261,-113.3574,0.0000,bottom
"C6","1.0uF","C_0603_1608Metric",134.8361,-123.3974,0.0000,bottom
"C7","1.0uF","C_0603_1608Metric",134.8361,-120.8874,0.0000,bottom
"C8","1.0uF","C_0603_1608Metric",134.8361,-118.3774,0.0000,bottom
"C9","6.8pF","C_0603_1608Metric",134.8361,-115.8674,0.0000,bottom
"C10","6.8pF","C_0603_1608Metric",134.8361,-113.3574,0.0000,bottom
"C11","10uF","C_0603_1608Metric",145.1561,-123.3974,0.0000,bottom
"C12","100nF","C_0603_1608Metric",145.1561,-120.8874,0.0000,bottom
"C13","100nF","C_0603_1608Metric",138.8461,-123.3974,0.0000,bottom
"C14","1uF","SMD-0603",145.1561,-118.3774,0.0000,bottom
"C15","10pF","C_0603_1608Metric",138.8461,-120.8874,0.0000,bottom
"D1","LED","LED_0805_2012Metric",149.4061,-102.1224,0.0000,bottom
"D2","BZX585-B5V6.115","D_SOD-523",161.4411,-101.9474,0.0000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",130.5961,-110.3274,0.0000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",130.5961,-106.7774,0.0000,bottom
"FID3","Fiducial","Fiducial_1mm_Mask2mm",130.5961,-103.2274,0.0000,bottom
"J2","3.3-5V","Straight_2x03",156.5061,-106.8374,0.0000,bottom
"J3","JUMP_5X2","Straight_2x04",165.2561,-118.9974,0.0000,top
"J4","Conn_Coaxial","MCX",136.7611,-107.7124,0.0000,top
"J5","HEADER_2x06_PARALLEL","Straight_2x06",150.2761,-116.4574,0.0000,top
"M1","HOLE","MountingHole_3mm",125.2808,-99.8042,0.0000,top
"M2","HOLE","MountingHole_3mm",125.2808,-106.9037,0.0000,top
"M3","HOLE","MountingHole_3mm",125.2808,-114.0032,0.0000,top
"M4","HOLE","MountingHole_3mm",125.2808,-121.1027,0.0000,top
"R1","150","R_0603_1608Metric",138.8461,-118.3774,0.0000,bottom
"R2","10k","R_0603_1608Metric",145.1561,-115.8674,0.0000,bottom
"R3","10k","R_0603_1608Metric",145.1561,-113.3574,0.0000,bottom
"R4","2k2","R_0603_1608Metric",145.1561,-110.8474,0.0000,bottom
"R5","10k","R_0603_1608Metric",145.1561,-108.3374,0.0000,bottom
"U2","TXS0104EPW","TSSOP-14_4.4x5mm_P0.65mm",157.7661,-121.2124,0.0000,bottom
"U3","TXS0104EPW","TSSOP-14_4.4x5mm_P0.65mm",157.7661,-114.4974,0.0000,bottom
"U4","MIC5504-1.8YM5","SOT-23-5",149.7361,-105.8624,0.0000,bottom
"U5","TXS0108EPW","TSSOP-20_4.4x6.5mm_P0.65mm",164.3711,-107.1974,0.0000,bottom
"U6","LFB212G45CG1C187","Murata_C187",138.4244,-101.4127,0.0000,bottom
"Y2","LFSPXO009682","Oscillator_SMD_SeikoEpson_SG210-4Pin_2.5x2.0mm",134.6461,-101.2974,0.0000,bottom
